cpu_utilization,memory_utilization,storage_gb,data_transfer_gb,duration_hours,pue,carbon_intensity_gco2_kwh,instance_tdp_watts,workload_type,aws_region,co2_emissions_kg
3.88,23.19,535.3,28.993,32.0841,1.281,320,11.4,S3,eu-central-1,0.656892
26.52,82.25,277.28,9.45,24.0,1.1,380,39.0,RDS,us-east-1,0.368517
40.59,23.94,519.8,87.898,19.8765,1.385,320,10.6,S3,eu-central-1,1.775385
8.64,14.66,1311.48,0.0,22.1644,1.481,320,10.0,S3,eu-central-1,0.167387
45.47,52.64,2.77,0.339,0.0021,,320,19.9,Lambda,eu-central-1,0.006524
37.39,70.48,313.25,24.821,12.4717,1.275,430,203.3,EC2,ap-southeast-1,1.161251
1.0,31.0,1943.77,14.072,20.7169,1.45,380,9.1,S3,us-east-1,0.581042
60.93,77.51,250.73,114.307,15.4772,1.24,100,197.7,EC2,ca-central-1,0.91957
4.53,55.85,1.47,0.051,0.0101,1.255,320,39.0,Lambda,eu-central-1,0.00097
22.44,25.01,1251.61,104.874,26.0569,1.371,270,15.8,S3,eu-west-1,1.927583
12.43,16.32,0.0,63.821,21.6644,1.303,450,16.4,S3,ap-northeast-1,1.731963
12.11,22.15,2123.17,49.258,16.4555,1.149,270,1.0,S3,eu-west-1,0.947505
57.05,52.21,271.66,23.524,8.0197,1.281,90,110.4,EC2,sa-east-1,0.188503
36.57,81.51,731.94,7.973,24.0,,450,54.0,RDS,ap-northeast-1,0.678381
17.98,36.54,3.71,0.762,0.0146,1.351,450,25.1,Lambda,ap-northeast-1,0.020278
37.69,78.05,451.72,14.176,24.0,1.244,100,63.4,RDS,ca-central-1,0.170772
11.43,25.56,2091.11,151.567,28.2116,1.311,100,15.2,S3,ca-central-1,1.040341
50.88,34.08,69.93,45.441,14.497,1.496,90,221.4,EC2,sa-east-1,0.455221
49.53,82.71,814.8,39.877,24.0,1.438,320,107.0,RDS,eu-central-1,1.434299
35.91,73.86,341.08,8.309,10.1224,1.368,90,226.1,EC2,sa-east-1,0.150103
23.79,17.6,3187.54,53.751,28.3037,1.181,450,16.0,S3,ap-northeast-1,2.228218
14.65,20.42,1592.27,31.902,23.0069,1.443,320,9.3,S3,eu-central-1,0.8206
5.74,14.87,1504.06,120.517,24.7398,1.378,380,13.6,S3,us-east-1,3.086408
19.78,56.15,3.07,0.212,0.0144,1.516,100,30.5,Lambda,ca-central-1,0.001271
18.04,22.57,2149.89,50.292,30.9753,1.51,120,10.1,S3,us-west-2,0.517221
64.76,52.71,243.22,19.405,24.0,1.286,270,40.0,RDS,eu-west-1,0.558273
46.71,61.44,434.06,33.214,6.3259,1.416,450,96.4,EC2,ap-northeast-1,1.071947
29.58,100.0,324.31,30.379,14.8172,1.403,90,260.6,EC2,sa-east-1,0.312288
46.11,29.96,149.86,22.054,16.3065,1.388,90,103.7,EC2,sa-east-1,0.223068
12.76,75.66,1053.11,9.039,24.0,1.196,430,166.1,RDS,ap-southeast-1,0.689994
